MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
04/10/2018 76ers at Hawks,21701214,2017-18,2018-04-10, Hawks,1610612737, 76ers,1610612755
04/08/2018 Hawks at Celtics,21701202,2017-18,2018-04-08, Celtics,1610612738, Hawks,1610612737
04/06/2018 Hawks at Wizards,21701184,2017-18,2018-04-06, Wizards,1610612764, Hawks,1610612737
04/04/2018 Heat at Hawks,21701172,2017-18,2018-04-04, Hawks,1610612737, Heat,1610612748
04/03/2018 Hawks at Heat,21701158,2017-18,2018-04-03, Heat,1610612748, Hawks,1610612737
04/01/2018 Magic at Hawks,21701147,2017-18,2018-04-01, Hawks,1610612737, Magic,1610612753
03/30/2018 76ers at Hawks,21701130,2017-18,2018-03-30, Hawks,1610612737, 76ers,1610612755
03/28/2018 Hawks at Timberwolves,21701120,2017-18,2018-03-28, Timberwolves,1610612750, Hawks,1610612737
03/25/2018 Hawks at Rockets,21701101,2017-18,2018-03-25, Rockets,1610612745, Hawks,1610612737
03/23/2018 Hawks at Warriors,21701087,2017-18,2018-03-23, Warriors,1610612744, Hawks,1610612737
03/22/2018 Hawks at Kings,21701077,2017-18,2018-03-22, Kings,1610612758, Hawks,1610612737
03/20/2018 Hawks at Jazz,21701062,2017-18,2018-03-20, Jazz,1610612762, Hawks,1610612737
03/17/2018 Hawks at Bucks,21701041,2017-18,2018-03-17, Bucks,1610612749, Hawks,1610612737
03/15/2018 Hornets at Hawks,21701021,2017-18,2018-03-15, Hawks,1610612737, Hornets,1610612766
03/13/2018 Thunder at Hawks,21701007,2017-18,2018-03-13, Hawks,1610612737, Thunder,1610612760
03/11/2018 Bulls at Hawks,21700993,2017-18,2018-03-11, Hawks,1610612737, Bulls,1610612741
03/09/2018 Hawks at Pacers,21700978,2017-18,2018-03-09, Pacers,1610612754, Hawks,1610612737
03/06/2018 Hawks at Raptors,21700958,2017-18,2018-03-06, Raptors,1610612761, Hawks,1610612737
03/04/2018 Suns at Hawks,21700943,2017-18,2018-03-04, Hawks,1610612737, Suns,1610612756
03/02/2018 Warriors at Hawks,21700928,2017-18,2018-03-02, Hawks,1610612737, Warriors,1610612744
02/28/2018 Pacers at Hawks,21700915,2017-18,2018-02-28, Hawks,1610612737, Pacers,1610612754
02/26/2018 Lakers at Hawks,21700897,2017-18,2018-02-26, Hawks,1610612737, Lakers,1610612747
02/23/2018 Hawks at Pacers,21700874,2017-18,2018-02-23, Pacers,1610612754, Hawks,1610612737
02/14/2018 Hawks at Pistons,21700853,2017-18,2018-02-14, Pistons,1610612765, Hawks,1610612737
02/13/2018 Hawks at Bucks,21700848,2017-18,2018-02-13, Bucks,1610612749, Hawks,1610612737
02/11/2018 Pistons at Hawks,21700834,2017-18,2018-02-11, Hawks,1610612737, Pistons,1610612765
02/09/2018 Cavaliers at Hawks,21700819,2017-18,2018-02-09, Hawks,1610612737, Cavaliers,1610612739
02/08/2018 Hawks at Magic,21700811,2017-18,2018-02-08, Magic,1610612753, Hawks,1610612737
02/06/2018 Grizzlies at Hawks,21700799,2017-18,2018-02-06, Hawks,1610612737, Grizzlies,1610612763
02/04/2018 Hawks at Knicks,21700786,2017-18,2018-02-04, Knicks,1610612752, Hawks,1610612737
02/02/2018 Hawks at Celtics,21700767,2017-18,2018-02-02, Celtics,1610612738, Hawks,1610612737
01/31/2018 Hornets at Hawks,21700755,2017-18,2018-01-31, Hawks,1610612737, Hornets,1610612766
01/29/2018 Timberwolves at Hawks,21700739,2017-18,2018-01-29, Hawks,1610612737, Timberwolves,1610612750
