game_id,date,season,venue,venue_location,home_team,away_team,home_score,away_score,home_sog,away_sog,periods,winner_team,home_goalie_even_shots,home_goalie_even_goals,home_goalie_short_shots,home_goalie_short_goals,home_goalie_power_shots,home_goalie_power_goals,away_goalie_even_shots,away_goalie_even_goals,away_goalie_short_shots,away_goalie_short_goals,away_goalie_power_shots,away_goalie_power_goals,home_save_pctg,away_save_pctg,home_total_pim,away_total_pim,start_time_UTC,game_state
2021010008,2021-09-26,20212022,Honda Center,Anaheim,ANA,SJS,6,3,28,27,3,home,17.0,2.0,0.0,0.0,10.0,1.0,21.0,4.0,2.0,0.0,4.0,1.0,0.889,0.815,20,14,2021-09-27T00:00:00Z,FINAL
2021010031,2021-09-29,20212022,Honda Center,Anaheim,ANA,ARI,1,4,30,25,3,away,16.0,3.0,4.0,0.0,5.0,1.0,17.0,1.0,2.0,0.0,11.0,0.0,0.84,0.967,10,30,2021-09-30T02:00:00Z,FINAL
2021010037,2021-09-30,20212022,Honda Center,Anaheim,ANA,SJS,1,3,25,32,3,away,28.0,2.0,2.0,0.0,2.0,1.0,22.0,0.0,1.0,1.0,2.0,0.0,0.906,0.96,21,19,2021-10-01T02:00:00Z,FINAL
2021010047,2021-10-02,20212022,Gila River Arena,Glendale,ARI,ANA,4,3,31,27,3,home,21.0,1.0,2.0,0.0,4.0,2.0,28.0,4.0,0.0,0.0,3.0,0.0,0.889,0.871,4,4,2021-10-02T22:00:00Z,FINAL
2021010066,2021-10-04,20212022,SAP Center at San Jose,San Jose,SJS,ANA,2,3,44,25,3,away,21.0,1.0,0.0,0.0,4.0,1.0,31.0,1.0,0.0,0.0,13.0,1.0,0.92,0.955,24,24,2021-10-05T02:00:00Z,FINAL
2021010081,2021-10-06,20212022,Honda Center,Anaheim,ANA,LAK,3,6,42,29,3,away,23.0,3.0,0.0,0.0,5.0,2.0,36.0,3.0,0.0,0.0,6.0,0.0,0.821,0.929,16,6,2021-10-07T02:00:00Z,FINAL
2021010103,2021-10-09,20212022,STAPLES Center,Los Angeles,LAK,ANA,3,4,32,28,3,away,21.0,2.0,0.0,0.0,7.0,1.0,28.0,2.0,0.0,0.0,4.0,1.0,0.893,0.906,8,6,2021-10-10T02:30:00Z,FINAL
2021020015,2021-10-13,20212022,Honda Center,Anaheim,ANA,WPG,4,1,22,34,3,home,21.0,1.0,1.0,0.0,12.0,0.0,12.0,2.0,0.0,0.0,10.0,2.0,0.971,0.818,18,14,2021-10-14T02:00:00Z,OFF
2021020019,2021-10-15,20212022,Honda Center,Anaheim,ANA,MIN,1,2,29,43,3,away,33.0,1.0,1.0,0.0,9.0,1.0,17.0,0.0,2.0,0.0,10.0,1.0,0.953,0.966,25,23,2021-10-16T02:00:00Z,OFF
2021020037,2021-10-18,20212022,Scotiabank Saddledome,Calgary,CGY,ANA,2,3,43,27,3,away,25.0,2.0,0.0,0.0,2.0,1.0,36.0,2.0,1.0,0.0,6.0,0.0,0.889,0.953,9,11,2021-10-19T01:30:00Z,OFF
2021020049,2021-10-19,20212022,Rogers Place,Edmonton,EDM,ANA,6,5,37,36,3,home,33.0,5.0,2.0,0.0,1.0,0.0,28.0,3.0,1.0,0.0,7.0,2.0,0.861,0.861,4,12,2021-10-20T01:00:00Z,OFF
2021020060,2021-10-21,20212022,Canada Life Centre,Winnipeg,WPG,ANA,5,1,27,39,3,home,33.0,0.0,0.0,0.0,6.0,1.0,20.0,3.0,1.0,0.0,5.0,1.0,0.974,0.846,6,4,2021-10-22T00:00:00Z,OFF
2021020075,2021-10-23,20212022,Xcel Energy Center,St. Paul,MIN,ANA,4,3,36,24,3,home,19.0,2.0,0.0,0.0,5.0,1.0,28.0,4.0,1.0,0.0,7.0,0.0,0.875,0.889,10,10,2021-10-23T22:00:00Z,OFF
2021020095,2021-10-26,20212022,Honda Center,Anaheim,ANA,WPG,3,4,35,25,3,away,22.0,4.0,1.0,0.0,2.0,0.0,28.0,3.0,1.0,0.0,6.0,0.0,0.84,0.914,2,6,2021-10-27T02:00:00Z,OFF
2021020107,2021-10-28,20212022,Honda Center,Anaheim,ANA,BUF,3,4,37,29,3,away,28.0,3.0,0.0,0.0,1.0,1.0,35.0,3.0,2.0,0.0,0.0,0.0,0.862,0.919,4,2,2021-10-29T02:00:00Z,OFF
2021020116,2021-10-29,20212022,T-Mobile Arena,Paradise,VGK,ANA,5,4,42,38,3,home,32.0,4.0,0.0,0.0,6.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,0.895,0.905,11,5,2021-10-30T00:00:00Z,OFF
2021020129,2021-10-31,20212022,Honda Center,Anaheim,ANA,MTL,4,2,26,18,3,home,14.0,1.0,1.0,0.0,3.0,1.0,18.0,1.0,0.0,0.0,7.0,2.0,0.889,0.88,10,25,2021-10-31T20:00:00Z,OFF
2021020142,2021-11-02,20212022,Honda Center,Anaheim,ANA,NJD,4,0,27,28,3,home,22.0,0.0,3.0,0.0,3.0,0.0,17.0,1.0,4.0,1.0,6.0,2.0,1.0,0.852,10,10,2021-11-03T02:00:00Z,OFF
2021020160,2021-11-05,20212022,Honda Center,Anaheim,ANA,ARI,3,1,31,29,3,home,28.0,1.0,0.0,0.0,1.0,0.0,23.0,2.0,1.0,0.0,7.0,1.0,0.966,0.903,16,40,2021-11-06T02:00:00Z,OFF
2021020178,2021-11-07,20212022,Honda Center,Anaheim,ANA,STL,4,1,27,35,3,home,32.0,1.0,0.0,0.0,3.0,0.0,22.0,2.0,0.0,0.0,4.0,1.0,0.971,0.885,2,14,2021-11-08T01:00:00Z,OFF
2021020190,2021-11-09,20212022,Rogers Arena,Vancouver,VAN,ANA,2,3,43,30,3,away,27.0,2.0,1.0,0.0,2.0,1.0,34.0,1.0,3.0,1.0,6.0,0.0,0.9,0.953,8,6,2021-11-10T03:00:00Z,OFF
2021020205,2021-11-11,20212022,Climate Pledge Arena,Seattle,SEA,ANA,4,7,25,36,3,away,34.0,5.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,1.0,0.0,0.853,0.84,9,9,2021-11-12T03:00:00Z,OFF
2021020229,2021-11-14,20212022,Honda Center,Anaheim,ANA,VAN,5,1,38,27,3,home,22.0,1.0,1.0,0.0,4.0,0.0,31.0,2.0,0.0,0.0,6.0,2.0,0.963,0.892,2,8,2021-11-15T01:00:00Z,OFF
2021020243,2021-11-16,20212022,Honda Center,Anaheim,ANA,WSH,3,2,31,30,3,home,29.0,2.0,1.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,1.0,0.0,0.933,0.903,10,2,2021-11-17T03:00:00Z,OFF
2021020258,2021-11-18,20212022,Honda Center,Anaheim,ANA,CAR,1,2,32,31,3,away,29.0,2.0,0.0,0.0,2.0,0.0,29.0,1.0,1.0,0.0,2.0,0.0,0.935,0.969,4,6,2021-11-19T03:00:00Z,OFF
2021020283,2021-11-22,20212022,Bridgestone Arena,Nashville,NSH,ANA,3,2,35,31,3,home,25.0,2.0,2.0,0.0,4.0,0.0,23.0,2.0,0.0,0.0,12.0,1.0,0.935,0.914,4,8,2021-11-23T01:00:00Z,OFF
2021020299,2021-11-24,20212022,Ball Arena,Denver,COL,ANA,5,2,36,26,3,home,17.0,0.0,5.0,0.0,4.0,2.0,23.0,4.0,1.0,0.0,12.0,1.0,0.923,0.861,11,19,2021-11-25T02:00:00Z,OFF
2021020315,2021-11-26,20212022,Honda Center,Anaheim,ANA,OTT,4,0,33,34,3,home,20.0,0.0,2.0,0.0,12.0,0.0,25.0,3.0,1.0,0.0,7.0,1.0,1.0,0.879,18,16,2021-11-26T21:00:00Z,OFF
2021020332,2021-11-28,20212022,Honda Center,Anaheim,ANA,TOR,1,5,40,31,3,away,28.0,4.0,0.0,0.0,2.0,0.0,37.0,1.0,2.0,0.0,1.0,0.0,0.867,0.975,2,2,2021-11-29T01:00:00Z,OFF
2021020345,2021-11-30,20212022,STAPLES Center,Los Angeles,LAK,ANA,4,5,34,36,3,away,30.0,2.0,0.0,0.0,6.0,1.0,31.0,4.0,0.0,0.0,3.0,0.0,0.917,0.882,4,2,2021-12-01T03:30:00Z,OFF
2021020351,2021-12-01,20212022,Honda Center,Anaheim,ANA,VGK,6,5,34,39,3,home,23.0,1.0,4.0,2.0,12.0,2.0,30.0,5.0,2.0,0.0,1.0,0.0,0.872,0.848,8,6,2021-12-02T03:00:00Z,OFF
2021020365,2021-12-03,20212022,Honda Center,Anaheim,ANA,CGY,3,4,34,36,3,away,35.0,3.0,0.0,0.0,1.0,0.0,31.0,2.0,0.0,0.0,3.0,1.0,0.917,0.912,4,18,2021-12-04T03:00:00Z,OFF
2021020384,2021-12-06,20212022,Capital One Arena,Washington,WSH,ANA,4,3,29,34,3,home,34.0,3.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,2.0,0.0,0.912,0.897,7,7,2021-12-07T00:00:00Z,OFF
2021020388,2021-12-07,20212022,KeyBank Center,Buffalo,BUF,ANA,0,2,25,23,3,away,23.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.913,1.0,2,6,2021-12-08T00:30:00Z,OFF
2021020405,2021-12-09,20212022,Nationwide Arena,Columbus,CBJ,ANA,1,2,34,26,3,away,26.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,4.0,0.0,0.962,0.971,2,4,2021-12-10T00:00:00Z,OFF
2021020423,2021-12-11,20212022,PPG Paints Arena,Pittsburgh,PIT,ANA,1,0,29,33,3,home,29.0,0.0,0.0,0.0,4.0,0.0,26.0,1.0,1.0,0.0,2.0,0.0,1.0,0.966,4,2,2021-12-12T00:00:00Z,OFF
2021020432,2021-12-12,20212022,Enterprise Center,St. Louis,STL,ANA,2,3,25,39,3,away,39.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,4.0,0.0,0.923,0.92,2,2,2021-12-13T00:00:00Z,OFF
2021020453,2021-12-15,20212022,Honda Center,Anaheim,ANA,SEA,4,1,24,20,3,home,16.0,0.0,1.0,0.0,3.0,1.0,22.0,2.0,1.0,1.0,1.0,1.0,0.95,0.833,8,6,2021-12-16T03:00:00Z,OFF
2021020470,2021-12-17,20212022,Honda Center,Anaheim,ANA,ARI,5,6,37,27,3,away,21.0,5.0,0.0,0.0,6.0,1.0,29.0,3.0,1.0,0.0,7.0,2.0,0.778,0.865,18,18,2021-12-18T03:00:00Z,OFF
2021020493,2022-02-17,20212022,Rogers Place,Edmonton,EDM,ANA,7,3,41,30,3,home,21.0,1.0,2.0,0.0,7.0,2.0,31.0,6.0,1.0,0.0,9.0,1.0,0.9,0.829,6,8,2022-02-18T02:00:00Z,OFF
2021020500,2022-02-16,20212022,Scotiabank Saddledome,Calgary,CGY,ANA,6,2,43,28,3,home,17.0,1.0,4.0,1.0,7.0,0.0,28.0,3.0,0.0,0.0,14.0,2.0,0.929,0.881,13,15,2022-02-17T02:30:00Z,OFF
2021020520,2022-02-19,20212022,Rogers Arena,Vancouver,VAN,ANA,4,7,20,25,3,away,17.0,5.0,0.0,0.0,8.0,2.0,15.0,3.0,1.0,0.0,4.0,1.0,0.72,0.8,12,8,2022-02-20T03:00:00Z,OFF
2021020536,2022-02-22,20212022,Honda Center,Anaheim,ANA,SJS,4,3,29,43,3,home,28.0,2.0,1.0,0.0,14.0,1.0,22.0,3.0,0.0,0.0,7.0,0.0,0.93,0.897,15,13,2022-02-23T03:00:00Z,OFF
2021020550,2021-12-29,20212022,Honda Center,Anaheim,ANA,VAN,1,2,23,37,3,away,32.0,2.0,0.0,0.0,5.0,0.0,20.0,1.0,1.0,0.0,2.0,0.0,0.946,0.957,4,8,2021-12-30T03:30:00Z,OFF
2021020565,2021-12-31,20212022,T-Mobile Arena,Paradise,VGK,ANA,3,1,45,16,3,home,15.0,0.0,0.0,0.0,1.0,1.0,31.0,3.0,0.0,0.0,14.0,0.0,0.938,0.933,21,41,2021-12-31T20:00:00Z,OFF
2021020580,2022-01-02,20212022,Ball Arena,Denver,COL,ANA,4,2,36,31,3,home,24.0,1.0,2.0,0.0,5.0,1.0,27.0,1.0,2.0,0.0,6.0,2.0,0.935,0.914,6,10,2022-01-02T20:00:00Z,OFF
2021020594,2022-01-04,20212022,Honda Center,Anaheim,ANA,PHI,4,1,30,29,3,home,25.0,1.0,4.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,4.0,1.0,0.966,0.897,6,10,2022-01-05T03:00:00Z,OFF
2021020609,2022-01-09,20212022,Honda Center,Anaheim,ANA,DET,4,3,27,36,3,home,31.0,2.0,0.0,0.0,5.0,1.0,24.0,2.0,1.0,0.0,2.0,1.0,0.917,0.889,13,19,2022-01-10T01:00:00Z,OFF
2021020627,2022-01-08,20212022,Honda Center,Anaheim,ANA,NYR,1,4,14,40,3,away,25.0,3.0,1.0,0.0,13.0,0.0,11.0,1.0,1.0,0.0,2.0,0.0,0.923,0.929,8,6,2022-01-09T03:00:00Z,OFF
